2022-07-15 03:29:25,207 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:29:26,014 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:29:26,017 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:29:26,815 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:29:26,821 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:29:27,794 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "PUT /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:30:32,801 | INFO     | <module>             | 152 | Loading vManage login details from YAML

2022-07-15 03:30:32,813 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:33,688 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "POST /j_security_check HTTP/1.1" 200 0
2022-07-15 03:30:33,692 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:34,482 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/client/token HTTP/1.1" 200 None
2022-07-15 03:30:34,486 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:35,287 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute HTTP/1.1" 200 None
2022-07-15 03:30:35,291 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
2022-07-15 03:30:36,092 | DEBUG    | _make_request        | 433 | https://10.10.20.90:443 "GET /dataservice/template/policy/definition/approute/fbef9dbe-18de-442a-af74-19926492047c HTTP/1.1" 200 None
2022-07-15 03:30:36,095 | DEBUG    | _new_conn            | 939 | Starting new HTTPS connection (1): 10.10.20.90:443
